Duration,Obs_period,Obs_prox,Obs_int,Freq_prox,Freq_int,Age,Gender,Behavior group
12.8,12.8,12.8,0,0.078125,0,Child,Female,Proximity
16.56,16.56,16.56,0,0.060386473,0,Child,Female,Proximity
38.88,38.88,38.88,0,0.025720165,0,Child,Male,Proximity
7.36,7.36,7.36,0,0.135869565,0,Child,Female,Proximity
2.16,34.96,34.96,0,0.085812357,0,Child,Male,Proximity
57.4,116.44,86.52,29.92,0.034352456,0.008588114,Child,Female,Proximity
7.12,84.64,7.12,77.52,0.011814745,0.035444234,Child,Male,Proximity
5.2,5.2,5.2,0,0.192307692,0,Adult,Female,Proximity
5.28,5.28,5.28,0,0.189393939,0,Adult,Female,Proximity
9.6,9.6,9.6,0,0.104166667,0,Adult,Female,Proximity
2.56,2.56,2.56,0,0.390625,0,Child,Male,Proximity
14.88,14.88,14.88,0,0.067204301,0,Child,Male,Proximity
21.44,21.44,21.44,0,0.046641791,0,Adult,Male,Proximity
5.36,36.72,10.56,26.16,0.054466231,0.081699346,Child,Male,Proximity
15.52,130.64,48.24,82.4,0.030618494,0.015309247,Child,Female,Proximity
35.68,113.04,47.04,66,0.026539278,0.035385704,Child,Male,Proximity
12.24,105.12,33.28,71.84,0.028538813,0.009512938,Adult,Female,Proximity
28.72,28.72,28.72,0,0.034818942,0,Adult,Female,Proximity
12.4,254.12,18.56,235.56,0.007870297,0.03148119,Child,Female,Proximity
11.36,98.76,19.84,78.92,0.020251114,0.060753341,Child,Male,Proximity
7.68,7.68,7.68,0,0.130208333,0,Adult,Female,Proximity
15.36,82.56,33.2,49.36,0.048449612,0.109011628,Child,Male,Proximity
1.56,1.56,1.56,0,0.641025641,0,Child,Male,Proximity
15.36,15.36,15.36,0,0.065104167,0,Adult,Female,Proximity
18.64,18.64,18.64,0,0.053648069,0,Adult,Female,Proximity
7.92,119.6,21.8,97.8,0.025083612,0.100334448,Child,Male,Interaction
3.84,32.64,32.64,0,0.12254902,0,Child,Male,Proximity
13.84,13.84,13.84,0,0.072254335,0,Adult,Female,Proximity
2.64,16.88,2.64,14.24,0.059241706,0.118483412,Adult,Male,Proximity
13.2,38.56,16.4,22.16,0.05186722,0.05186722,Child,Male,Proximity
12.24,175.28,12.24,163.04,0.005705157,0.06846189,Adult,Male,Proximity
12.64,190.72,15.44,175.28,0.010486577,0.062919463,Adult,Female,Proximity
12.64,103.6,12.64,90.96,0.00965251,0.096525097,Child,Male,Proximity
1.88,52.04,1.88,50.16,0.019215988,0.172943889,Adult,Male,Proximity
9.2,69.68,10.88,68.24,0.028702641,0.086107922,Adult,Female,Proximity
9.44,97.24,50.56,46.68,0.071986837,0.092554504,Child,Male,Interaction
4.32,32.4,18.88,13.52,0.061728395,0.030864198,Child,Female,Proximity
15.84,69.72,65.88,3.84,0.04302926,0.028686173,Adult,Female,Proximity
2.8,117.76,6.56,111.2,0.025475543,0.110394022,Child,Male,Proximity
8.8,123.32,66.12,57.2,0.072980863,0.097307817,Child,Female,Proximity
14.88,58.08,45.36,12.72,0.068870523,0.068870523,Adult,Male,Proximity
12,37.04,12,25.04,0.02699784,0.107991361,Adult,Female,Proximity
5.76,39.12,11.28,27.84,0.051124744,0.127811861,Adult,Male,Proximity
3.44,40.04,3.44,36.6,0.024975025,0.124875125,Child,Male,Proximity
14.64,19.04,19.04,0,0.105042017,0,Adult,Male,Proximity
3.84,21.28,3.84,17.44,0.046992481,0.093984962,Child,Female,Proximity
2.24,4.64,2.24,2.4,0.215517241,0.215517241,Child,Male,Proximity
8.44,106.76,12.76,94,0.018733608,0.074934432,Adult,Female,Proximity
13.92,89.44,21.92,67.52,0.02236136,0.044722719,Child,Male,Proximity
2.16,76.4,11.28,65.12,0.039267016,0.052356021,Child,Male,Proximity
13.76,60.52,38,22.52,0.066093853,0.066093853,Child,Male,Proximity
7.68,33.6,33.6,0,0.119047619,0,Child,Female,Proximity
19.4,19.4,19.4,0,0.051546392,0,Adult,Female,Proximity
21.12,21.12,21.12,0,0.047348485,0,Adult,Male,Proximity
12.48,12.48,12.48,0,0.080128205,0,Adult,Female,Proximity
1.56,1.56,1.56,0,0.641025641,0,Child,Male,Proximity
15.36,15.36,15.36,0,0.065104167,0,Adult,Female,Proximity
2.32,57.12,25.6,31.52,0.035014006,0.035014006,Child,Male,Proximity
17.92,37.28,21.04,16.24,0.053648069,0.080472103,Adult,Male,Proximity
1.8,7.12,1.8,5.32,0.140449438,0.280898876,Child,Female,Proximity
13.36,13.36,13.36,0,0.074850299,0,Child,Female,Proximity
14,14,14,0,0.071428571,0,Adult,Female,Proximity
33.4,33.4,33.4,0,0.02994012,0,Adult,Female,Proximity
21.28,21.28,21.28,0,0.046992481,0,Child,Female,Proximity
8.72,8.72,8.72,0,0.114678899,0,Adult,Female,Proximity
5.84,5.84,5.84,0,0.171232877,0,Adult,Male,Proximity
8.24,8.24,8.24,0,0.121359223,0,Child,Male,Proximity
5.68,5.68,5.68,0,0.176056338,0,Child,Male,Proximity
22.8,22.8,22.8,0,0.043859649,0,Adult,Male,Proximity
23.44,23.44,23.44,0,0.042662116,0,Adult,Female,Proximity
12.96,12.96,12.96,0,0.077160494,0,Adult,Male,Proximity
4.8,33.76,4.8,28.96,0.029620853,0.029620853,Child,Male,Proximity
8.48,22.4,22.4,0,0.089285714,0,Adult,Female,Proximity
7.4,17,17,0,0.117647059,0,Adult,Male,Proximity
8,12.24,12.24,0,0.163398693,0,Child,Male,Proximity
5.92,11.76,11.76,0,0.170068027,0,Child,Male,Proximity
11.12,11.12,11.12,0,0.089928058,0,Child,Male,Proximity
14.88,65.16,34,31.16,0.046040516,0.122774708,Adult,Male,Proximity
2.32,92.48,28.08,64.4,0.064878893,0.097318339,Child,Male,Proximity
32.48,32.48,32.48,0,0.030788177,0,Adult,Male,Proximity
15.36,36.64,15.36,21.28,0.027292576,0.054585153,Adult,Female,Proximity
16.16,16.16,16.16,0,0.061881188,0,Child,Male,Proximity
17.36,22.64,17.36,5.28,0.044169611,0.132508834,Child,Male,Proximity
13.52,13.52,13.52,0,0.073964497,0,Adult,Female,Proximity
18.72,18.72,18.72,0,0.053418803,0,Adult,Male,Proximity
4.16,106.44,63.08,43.36,0.056369786,0.084554679,Child,Male,Proximity
15.84,15.84,15.84,0,0.063131313,0,Child,Female,Proximity
17.2,17.2,17.2,0,0.058139535,0,Adult,Male,Proximity
29.84,29.84,29.84,0,0.033512064,0,Child,Female,Proximity
19.92,19.92,19.92,0,0.050200803,0,Adult,Female,Proximity
19.92,19.92,19.92,0,0.050200803,0,Child,Female,Proximity
24.16,66.24,51.68,14.56,0.030193237,0.015096618,Adult,Female,Proximity
29.36,88.64,42,46.64,0.022563177,0.067689531,Adult,Male,Proximity
68.64,94.4,68.64,25.76,0.01059322,0.01059322,Child,Male,Proximity
33.28,111.44,73.2,38.24,0.017946877,0.044867193,Child,Female,Proximity
31.44,100.16,57.92,42.24,0.019968051,0.019968051,Adult,Male,Proximity
51.36,51.36,51.36,0,0.019470405,0,Child,Female,Proximity
6.64,6.64,6.64,0,0.15060241,0,Child,Female,Proximity
15.68,55.16,15.68,39.48,0.018129079,0.145032632,Adult,Female,Proximity
44.8,108.56,50.08,58.48,0.018422992,0.027634488,Child,Male,Proximity
19.12,94.68,41.08,53.6,0.031685678,0.031685678,Adult,Male,Proximity
12.4,109.2,19.2,90,0.018315018,0.100732601,Child,Male,Proximity
4.96,62.96,18.32,44.64,0.031766201,0.031766201,Child,Male,Proximity
16.4,33.68,33.68,0,0.059382423,0,Adult,Female,Proximity
29.84,64.4,35.2,29.2,0.031055901,0.062111801,Adult,Male,Proximity
12.88,12.88,12.88,0,0.077639752,0,Child,Female,Proximity
15.2,15.2,15.2,0,0.065789474,0,Child,Male,Proximity
13.4,98.56,25.4,73.16,0.020292208,0.081168831,Adult,Male,Proximity
14.72,60.88,29.68,31.2,0.032851511,0.032851511,Child,Male,Proximity
5.36,5.36,5.36,0,0.186567164,0,Child,Male,Proximity
5.76,5.76,5.76,0,0.173611111,0,Child,Male,Proximity
1.76,101.04,9.12,91.92,0.029691211,0.108867775,Child,Male,Proximity
6.8,211,8.52,202.48,0.009478673,0.085308057,Child,Male,Proximity
13.52,51.48,13.52,37.96,0.019425019,0.077700078,Adult,Male,Proximity
37.92,66.16,66.16,0,0.030229746,0,Adult,Male,Proximity
7.36,60,46.24,13.76,0.1,0.05,Child,Female,Proximity
9.92,9.92,9.92,0,0.100806452,0,Adult,Female,Proximity
4.56,4.56,4.56,0,0.219298246,0,Child,Female,Proximity
12.96,31.12,19.76,11.36,0.064267352,0.096401028,Adult,Female,Proximity
12.8,12.8,12.8,0,0.078125,0,Adult,Male,Proximity
17.84,22.64,17.84,4.8,0.044169611,0.044169611,Child,Female,Proximity
7.4,24.56,18.8,5.76,0.122149837,0.081433225,Child,Male,Proximity
52.64,54.32,52.64,1.68,0.018409426,0.018409426,Adult,Female,Proximity
3.28,3.28,0,3.28,0,0.304878049,Child,Female,Interaction
6.6,8.24,1.64,6.6,0.121359223,0.121359223,Child,Male,Interaction
8,8,8,0,0.125,0,Child,Female,Proximity
18,46.64,18,28.64,0.021440823,0.042881647,Adult,Male,Proximity
19.36,112.48,60.4,52.08,0.097795164,0.062233286,Child,Female,Proximity
8,216.24,63.2,153.04,0.046244913,0.073991861,Child,Male,Proximity
15.28,15.28,15.28,0,0.065445026,0,Adult,Female,Proximity
13.12,29.72,13.12,16.6,0.033647376,0.067294751,Child,Female,Proximity
6.4,6.4,6.4,0,0.15625,0,Child,Male,Proximity
4.56,4.56,0,4.56,0,0.219298246,Child,Male,Interaction
17.52,24.96,17.52,7.44,0.040064103,0.040064103,Adult,Female,Proximity
16.8,16.8,16.8,0,0.05952381,0,Adult,Male,Proximity
16,16,16,0,0.0625,0,Adult,Female,Proximity
6.72,6.72,6.72,0,0.148809524,0,Child,Male,Proximity
15.4,15.4,15.4,0,0.064935065,0,Adult,Female,Proximity
14.8,14.8,14.8,0,0.067567568,0,Child,Male,Proximity
12.16,12.16,12.16,0,0.082236842,0,Child,Male,Proximity
17.44,17.44,17.44,0,0.05733945,0,Adult,Male,Proximity
24.96,36.88,36.88,0,0.054229935,0,Adult,Female,Proximity
7.36,31.76,15.36,16.4,0.062972292,0.094458438,Adult,Female,Proximity
9.4,66.36,22.36,44,0.030138638,0.015069319,Child,Female,Proximity
7.6,66.28,35.16,31.12,0.045262523,0.075437538,Child,Male,Proximity
18.4,42.48,25.12,17.36,0.047080979,0.047080979,Child,Male,Proximity
3.52,3.52,3.52,0,0.284090909,0,Child,Male,Proximity
1.4,1.4,1.4,0,0.714285714,0,Adult,Female,Proximity
27.84,27.84,27.84,0,0.03591954,0,Adult,Male,Proximity
12.64,12.64,12.64,0,0.079113924,0,Child,Female,Proximity
29.76,29.76,29.76,0,0.033602151,0,Child,Male,Proximity
9.2,9.2,9.2,0,0.108695652,0,Child,Male,Proximity
4.88,8.08,8.08,0,0.247524752,0,Child,Male,Proximity
4.24,21.76,4.24,17.52,0.045955882,0.275735294,Adult,Female,Proximity
1.8,30.32,1.8,28.52,0.03298153,0.131926121,Adult,Female,Proximity
51.92,51.92,51.92,0,0.019260401,0,Adult,Male,Proximity
9.28,9.28,9.28,0,0.107758621,0,Child,Male,Proximity
8.32,8.32,8.32,0,0.120192308,0,Child,Female,Proximity
7.44,15.12,12.24,2.88,0.132275132,0.066137566,Child,Male,Proximity
7.68,34.32,32,2.32,0.116550117,0.029137529,Adult,Male,Proximity
19.76,19.76,19.76,0,0.050607287,0,Child,Female,Proximity
15.92,92,23.92,68.08,0.02173913,0.130434783,Adult,Female,Proximity
11.52,82,16.08,65.92,0.024390244,0.097560976,Child,Male,Proximity
11.68,128.4,33.28,95.12,0.031152648,0.171339564,Adult,Female,Proximity
24.8,30.48,30.48,0,0.065616798,0,Adult,Male,Proximity
19.12,121.56,39.2,82.36,0.024679171,0.074037512,Child,Male,Proximity
13.6,48.56,13.6,34.96,0.020593081,0.102965404,Adult,Male,Proximity
9.92,105.56,20.84,84.72,0.028419856,0.056839712,Child,Male,Proximity
21.28,33.68,33.68,0,0.059382423,0,Child,Male,Proximity
14,38,38,0,0.052631579,0,Adult,Female,Proximity
26.56,32.4,32.4,0,0.061728395,0,Adult,Female,Proximity
16.92,91.36,16.92,74.44,0.010945709,0.087565674,Adult,Male,Proximity
14.64,105.92,17.52,88.4,0.018882175,0.03776435,Child,Male,Proximity
